"iso3","country","Region.Name"
"PNG","Papua New Guinea","Oceania"
"POL","Poland","Europe"
"PRK","Korea (Democratic People's Rep. of)","Asia"
"PRT","Portugal","Europe"
"PRY","Paraguay","Americas"
"PSE","Palestine, State of","Asia"
"QAT","Qatar","Asia"
"ROU","Romania","Europe"
"RUS","Russian Federation","Europe"
"RWA","Rwanda","Africa"
"SAU","Saudi Arabia","Asia"
"SDN","Sudan","Africa"
"SEN","Senegal","Africa"
"SGP","Singapore","Asia"
"SLB","Solomon Islands","Oceania"
"SLE","Sierra Leone","Africa"
"SLV","El Salvador","Americas"
"SMR","San Marino","Europe"
"SOM","Somalia","Africa"
"SRB","Serbia","Europe"
"SSD","South Sudan","Africa"
"STP","Sao Tome and Principe","Africa"
"SUR","Suriname","Americas"
"SVK","Slovakia","Europe"
"SVN","Slovenia","Europe"
"SWE","Sweden","Europe"
"SWZ","Eswatini (Kingdom of)","Africa"
"SYC","Seychelles","Africa"
"SYR","Syrian Arab Republic","Asia"
"TCD","Chad","Africa"
"TGO","Togo","Africa"
"THA","Thailand","Asia"
"TJK","Tajikistan","Asia"
"TKM","Turkmenistan","Asia"
"TLS","Timor-Leste","Asia"
"TON","Tonga","Oceania"
"TTO","Trinidad and Tobago","Americas"
"TUN","Tunisia","Africa"
"TUR","Turkey","Asia"
"TUV","Tuvalu","Oceania"
"TZA","Tanzania (United Republic of)","Africa"
"UGA","Uganda","Africa"
"UKR","Ukraine","Europe"
"URY","Uruguay","Americas"
"USA","United States","Americas"
"UZB","Uzbekistan","Asia"
"VCT","Saint Vincent and the Grenadines","Americas"
"VEN","Venezuela (Bolivarian Republic of)","Americas"
"VNM","Viet Nam","Asia"
"VUT","Vanuatu","Oceania"
"WSM","Samoa","Oceania"
"YEM","Yemen","Asia"
"ZAF","South Africa","Africa"
"ZMB","Zambia","Africa"
"ZWE","Zimbabwe","Africa"
